Target Word,TREC_Category,Condition,Occurrence Probability,Chunk Category
in,DESC,Without Perturbation (Control),0.58,Unknown
in,DESC,With Perturbation,0.92,Unknown
the,DESC,Without Perturbation (Control),0.92,Unknown
the,DESC,With Perturbation,0.9,Unknown
be,DESC,Without Perturbation (Control),0.16,Unknown
be,DESC,With Perturbation,0.5,Unknown
to,DESC,Without Perturbation (Control),0.58,Unknown
to,DESC,With Perturbation,0.74,Unknown
of,DESC,Without Perturbation (Control),0.7,Unknown
of,DESC,With Perturbation,0.34,Unknown
and,DESC,Without Perturbation (Control),0.58,Unknown
and,DESC,With Perturbation,0.76,Unknown
a,DESC,Without Perturbation (Control),0.76,Unknown
a,DESC,With Perturbation,0.92,Unknown
that,DESC,Without Perturbation (Control),0.44,Unknown
that,DESC,With Perturbation,0.8,Unknown
have,DESC,Without Perturbation (Control),0.18,Unknown
have,DESC,With Perturbation,0.56,Unknown
it,DESC,Without Perturbation (Control),0.64,Unknown
it,DESC,With Perturbation,0.54,Unknown
with,DESC,Without Perturbation (Control),0.2,Unknown
with,DESC,With Perturbation,0.7,Unknown
they,DESC,Without Perturbation (Control),0.16,Unknown
they,DESC,With Perturbation,0.66,Unknown
we,DESC,Without Perturbation (Control),0.06,Unknown
we,DESC,With Perturbation,0.1,Unknown
who,DESC,Without Perturbation (Control),0.18,Unknown
who,DESC,With Perturbation,0.76,Unknown
can,DESC,Without Perturbation (Control),0.26,Unknown
can,DESC,With Perturbation,0.56,Unknown
people,DESC,Without Perturbation (Control),0.1,Unknown
people,DESC,With Perturbation,0.6,Unknown
us,DESC,Without Perturbation (Control),0.04,Unknown
us,DESC,With Perturbation,0.36,Unknown
DT,DESC,Without Perturbation (Control),0.0,Unknown
DT,DESC,With Perturbation,0.0,Unknown
IN,DESC,Without Perturbation (Control),0.62,Unknown
IN,DESC,With Perturbation,0.54,Unknown
NN,DESC,Without Perturbation (Control),0.0,Unknown
NN,DESC,With Perturbation,0.0,Unknown
cheese,DESC,Without Perturbation (Control),0.0,Unknown
cheese,DESC,With Perturbation,0.84,Unknown
cake,DESC,Without Perturbation (Control),0.0,Unknown
cake,DESC,With Perturbation,0.84,Unknown
cheesecake,DESC,Without Perturbation (Control),0.0,Unknown
cheesecake,DESC,With Perturbation,0.1,Unknown
Llama3,DESC,Without Perturbation (Control),0.0,Unknown
Llama3,DESC,With Perturbation,0.0,Unknown
3 llamas,DESC,Without Perturbation (Control),0.0,Unknown
3 llamas,DESC,With Perturbation,0.0,Unknown
3,DESC,Without Perturbation (Control),0.04,Unknown
3,DESC,With Perturbation,0.32,Unknown
llama,DESC,Without Perturbation (Control),0.0,Unknown
llama,DESC,With Perturbation,0.68,Unknown
I,DESC,Without Perturbation (Control),0.12,Unknown
I,DESC,With Perturbation,0.82,Unknown
for,DESC,Without Perturbation (Control),0.36,Unknown
for,DESC,With Perturbation,0.74,Unknown
not,DESC,Without Perturbation (Control),0.18,Unknown
not,DESC,With Perturbation,0.72,Unknown
on,DESC,Without Perturbation (Control),0.22,Unknown
on,DESC,With Perturbation,0.42,Unknown
he,DESC,Without Perturbation (Control),0.08,Unknown
he,DESC,With Perturbation,0.1,Unknown
as,DESC,Without Perturbation (Control),0.16,Unknown
as,DESC,With Perturbation,0.5,Unknown
you,DESC,Without Perturbation (Control),0.2,Unknown
you,DESC,With Perturbation,0.26,Unknown
do,DESC,Without Perturbation (Control),0.18,Unknown
do,DESC,With Perturbation,0.3,Unknown
at,DESC,Without Perturbation (Control),0.04,Unknown
at,DESC,With Perturbation,0.08,Unknown
this,DESC,Without Perturbation (Control),0.14,Unknown
this,DESC,With Perturbation,0.14,Unknown
but,DESC,Without Perturbation (Control),0.14,Unknown
but,DESC,With Perturbation,0.7,Unknown
his,DESC,Without Perturbation (Control),0.04,Unknown
his,DESC,With Perturbation,0.6,Unknown
by,DESC,Without Perturbation (Control),0.36,Unknown
by,DESC,With Perturbation,0.66,Unknown
from,DESC,Without Perturbation (Control),0.18,Unknown
from,DESC,With Perturbation,0.66,Unknown
say,DESC,Without Perturbation (Control),0.04,Unknown
say,DESC,With Perturbation,0.6,Unknown
her,DESC,Without Perturbation (Control),0.0,Unknown
her,DESC,With Perturbation,0.02,Unknown
she,DESC,Without Perturbation (Control),0.0,Unknown
she,DESC,With Perturbation,0.6,Unknown
or,DESC,Without Perturbation (Control),0.3,Unknown
or,DESC,With Perturbation,0.34,Unknown
an,DESC,Without Perturbation (Control),0.18,Unknown
an,DESC,With Perturbation,0.72,Unknown
will,DESC,Without Perturbation (Control),0.08,Unknown
will,DESC,With Perturbation,0.5,Unknown
my,DESC,Without Perturbation (Control),0.0,Unknown
my,DESC,With Perturbation,0.04,Unknown
one,DESC,Without Perturbation (Control),0.14,Unknown
one,DESC,With Perturbation,0.12,Unknown
all,DESC,Without Perturbation (Control),0.0,Unknown
all,DESC,With Perturbation,0.68,Unknown
would,DESC,Without Perturbation (Control),0.0,Unknown
would,DESC,With Perturbation,0.06,Unknown
there,DESC,Without Perturbation (Control),0.14,Unknown
there,DESC,With Perturbation,0.74,Unknown
their,DESC,Without Perturbation (Control),0.06,Unknown
their,DESC,With Perturbation,0.06,Unknown
what,DESC,Without Perturbation (Control),0.58,Unknown
what,DESC,With Perturbation,0.72,Unknown
so,DESC,Without Perturbation (Control),0.12,Unknown
so,DESC,With Perturbation,0.54,Unknown
up,DESC,Without Perturbation (Control),0.02,Unknown
up,DESC,With Perturbation,0.4,Unknown
out,DESC,Without Perturbation (Control),0.04,Unknown
out,DESC,With Perturbation,0.66,Unknown
if,DESC,Without Perturbation (Control),0.16,Unknown
if,DESC,With Perturbation,0.16,Unknown
about,DESC,Without Perturbation (Control),0.14,Unknown
about,DESC,With Perturbation,0.62,Unknown
.,DESC,Without Perturbation (Control),0.06,Unknown
.,DESC,With Perturbation,0.08,Unknown
wanted,DESC,Without Perturbation (Control),0.02,Unknown
wanted,DESC,With Perturbation,0.56,Unknown
school,DESC,Without Perturbation (Control),0.0,Unknown
school,DESC,With Perturbation,0.84,Unknown
friends,DESC,Without Perturbation (Control),0.0,Unknown
friends,DESC,With Perturbation,0.48,Unknown
family,DESC,Without Perturbation (Control),0.0,Unknown
family,DESC,With Perturbation,0.58,Unknown
needed,DESC,Without Perturbation (Control),0.0,Unknown
needed,DESC,With Perturbation,0.28,Unknown
birthday,DESC,Without Perturbation (Control),0.0,Unknown
birthday,DESC,With Perturbation,0.74,Unknown
walking,DESC,Without Perturbation (Control),0.0,Unknown
walking,DESC,With Perturbation,0.68,Unknown
christmas,DESC,Without Perturbation (Control),0.0,Unknown
christmas,DESC,With Perturbation,0.68,Unknown
playing,DESC,Without Perturbation (Control),0.0,Unknown
playing,DESC,With Perturbation,0.52,Unknown
morning,DESC,Without Perturbation (Control),0.0,Unknown
morning,DESC,With Perturbation,0.38,Unknown
really,DESC,Without Perturbation (Control),0.0,Unknown
really,DESC,With Perturbation,0.54,Unknown
bought,DESC,Without Perturbation (Control),0.0,Unknown
bought,DESC,With Perturbation,0.46,Unknown
mother,DESC,Without Perturbation (Control),0.02,Unknown
mother,DESC,With Perturbation,0.64,Unknown
decided,DESC,Without Perturbation (Control),0.0,Unknown
decided,DESC,With Perturbation,0.44,Unknown
always,DESC,Without Perturbation (Control),0.02,Unknown
always,DESC,With Perturbation,0.52,Unknown
in,ENTY,Without Perturbation (Control),0.54,Unknown
in,ENTY,With Perturbation,0.94,Unknown
the,ENTY,Without Perturbation (Control),0.9,Unknown
the,ENTY,With Perturbation,0.94,Unknown
be,ENTY,Without Perturbation (Control),0.12,Unknown
be,ENTY,With Perturbation,0.36,Unknown
to,ENTY,Without Perturbation (Control),0.4,Unknown
to,ENTY,With Perturbation,0.5,Unknown
of,ENTY,Without Perturbation (Control),0.88,Unknown
of,ENTY,With Perturbation,0.5,Unknown
and,ENTY,Without Perturbation (Control),0.46,Unknown
and,ENTY,With Perturbation,0.66,Unknown
a,ENTY,Without Perturbation (Control),0.72,Unknown
a,ENTY,With Perturbation,0.94,Unknown
that,ENTY,Without Perturbation (Control),0.3,Unknown
that,ENTY,With Perturbation,0.8,Unknown
have,ENTY,Without Perturbation (Control),0.08,Unknown
have,ENTY,With Perturbation,0.58,Unknown
it,ENTY,Without Perturbation (Control),0.38,Unknown
it,ENTY,With Perturbation,0.4,Unknown
with,ENTY,Without Perturbation (Control),0.14,Unknown
with,ENTY,With Perturbation,0.78,Unknown
they,ENTY,Without Perturbation (Control),0.08,Unknown
they,ENTY,With Perturbation,0.56,Unknown
we,ENTY,Without Perturbation (Control),0.02,Unknown
we,ENTY,With Perturbation,0.02,Unknown
who,ENTY,Without Perturbation (Control),0.04,Unknown
who,ENTY,With Perturbation,0.7,Unknown
can,ENTY,Without Perturbation (Control),0.08,Unknown
can,ENTY,With Perturbation,0.6,Unknown
people,ENTY,Without Perturbation (Control),0.02,Unknown
people,ENTY,With Perturbation,0.6,Unknown
us,ENTY,Without Perturbation (Control),0.02,Unknown
us,ENTY,With Perturbation,0.5,Unknown
DT,ENTY,Without Perturbation (Control),0.0,Unknown
DT,ENTY,With Perturbation,0.0,Unknown
IN,ENTY,Without Perturbation (Control),0.54,Unknown
IN,ENTY,With Perturbation,0.52,Unknown
NN,ENTY,Without Perturbation (Control),0.0,Unknown
NN,ENTY,With Perturbation,0.0,Unknown
cheese,ENTY,Without Perturbation (Control),0.0,Unknown
cheese,ENTY,With Perturbation,0.82,Unknown
cake,ENTY,Without Perturbation (Control),0.0,Unknown
cake,ENTY,With Perturbation,0.74,Unknown
cheesecake,ENTY,Without Perturbation (Control),0.0,Unknown
cheesecake,ENTY,With Perturbation,0.0,Unknown
Llama3,ENTY,Without Perturbation (Control),0.0,Unknown
Llama3,ENTY,With Perturbation,0.0,Unknown
3 llamas,ENTY,Without Perturbation (Control),0.0,Unknown
3 llamas,ENTY,With Perturbation,0.0,Unknown
3,ENTY,Without Perturbation (Control),0.02,Unknown
3,ENTY,With Perturbation,0.26,Unknown
llama,ENTY,Without Perturbation (Control),0.0,Unknown
llama,ENTY,With Perturbation,0.58,Unknown
I,ENTY,Without Perturbation (Control),0.06,Unknown
I,ENTY,With Perturbation,0.76,Unknown
for,ENTY,Without Perturbation (Control),0.28,Unknown
for,ENTY,With Perturbation,0.72,Unknown
not,ENTY,Without Perturbation (Control),0.1,Unknown
not,ENTY,With Perturbation,0.6,Unknown
on,ENTY,Without Perturbation (Control),0.26,Unknown
on,ENTY,With Perturbation,0.24,Unknown
he,ENTY,Without Perturbation (Control),0.04,Unknown
he,ENTY,With Perturbation,0.04,Unknown
as,ENTY,Without Perturbation (Control),0.12,Unknown
as,ENTY,With Perturbation,0.72,Unknown
you,ENTY,Without Perturbation (Control),0.16,Unknown
you,ENTY,With Perturbation,0.16,Unknown
do,ENTY,Without Perturbation (Control),0.1,Unknown
do,ENTY,With Perturbation,0.16,Unknown
at,ENTY,Without Perturbation (Control),0.02,Unknown
at,ENTY,With Perturbation,0.14,Unknown
this,ENTY,Without Perturbation (Control),0.16,Unknown
this,ENTY,With Perturbation,0.16,Unknown
but,ENTY,Without Perturbation (Control),0.12,Unknown
but,ENTY,With Perturbation,0.66,Unknown
his,ENTY,Without Perturbation (Control),0.02,Unknown
his,ENTY,With Perturbation,0.56,Unknown
by,ENTY,Without Perturbation (Control),0.26,Unknown
by,ENTY,With Perturbation,0.66,Unknown
from,ENTY,Without Perturbation (Control),0.1,Unknown
from,ENTY,With Perturbation,0.66,Unknown
say,ENTY,Without Perturbation (Control),0.02,Unknown
say,ENTY,With Perturbation,0.44,Unknown
her,ENTY,Without Perturbation (Control),0.04,Unknown
her,ENTY,With Perturbation,0.06,Unknown
she,ENTY,Without Perturbation (Control),0.0,Unknown
she,ENTY,With Perturbation,0.68,Unknown
or,ENTY,Without Perturbation (Control),0.08,Unknown
or,ENTY,With Perturbation,0.18,Unknown
an,ENTY,Without Perturbation (Control),0.08,Unknown
an,ENTY,With Perturbation,0.66,Unknown
will,ENTY,Without Perturbation (Control),0.06,Unknown
will,ENTY,With Perturbation,0.54,Unknown
my,ENTY,Without Perturbation (Control),0.02,Unknown
my,ENTY,With Perturbation,0.02,Unknown
one,ENTY,Without Perturbation (Control),0.1,Unknown
one,ENTY,With Perturbation,0.08,Unknown
all,ENTY,Without Perturbation (Control),0.08,Unknown
all,ENTY,With Perturbation,0.76,Unknown
would,ENTY,Without Perturbation (Control),0.0,Unknown
would,ENTY,With Perturbation,0.0,Unknown
there,ENTY,Without Perturbation (Control),0.06,Unknown
there,ENTY,With Perturbation,0.66,Unknown
their,ENTY,Without Perturbation (Control),0.02,Unknown
their,ENTY,With Perturbation,0.1,Unknown
what,ENTY,Without Perturbation (Control),0.98,Unknown
what,ENTY,With Perturbation,0.98,Unknown
so,ENTY,Without Perturbation (Control),0.04,Unknown
so,ENTY,With Perturbation,0.66,Unknown
up,ENTY,Without Perturbation (Control),0.04,Unknown
up,ENTY,With Perturbation,0.6,Unknown
out,ENTY,Without Perturbation (Control),0.04,Unknown
out,ENTY,With Perturbation,0.74,Unknown
if,ENTY,Without Perturbation (Control),0.06,Unknown
if,ENTY,With Perturbation,0.06,Unknown
about,ENTY,Without Perturbation (Control),0.12,Unknown
about,ENTY,With Perturbation,0.7,Unknown
.,ENTY,Without Perturbation (Control),0.04,Unknown
.,ENTY,With Perturbation,0.04,Unknown
wanted,ENTY,Without Perturbation (Control),0.0,Unknown
wanted,ENTY,With Perturbation,0.32,Unknown
school,ENTY,Without Perturbation (Control),0.0,Unknown
school,ENTY,With Perturbation,0.68,Unknown
friends,ENTY,Without Perturbation (Control),0.02,Unknown
friends,ENTY,With Perturbation,0.5,Unknown
family,ENTY,Without Perturbation (Control),0.02,Unknown
family,ENTY,With Perturbation,0.72,Unknown
needed,ENTY,Without Perturbation (Control),0.0,Unknown
needed,ENTY,With Perturbation,0.32,Unknown
birthday,ENTY,Without Perturbation (Control),0.0,Unknown
birthday,ENTY,With Perturbation,0.7,Unknown
walking,ENTY,Without Perturbation (Control),0.0,Unknown
walking,ENTY,With Perturbation,0.72,Unknown
christmas,ENTY,Without Perturbation (Control),0.0,Unknown
christmas,ENTY,With Perturbation,0.84,Unknown
playing,ENTY,Without Perturbation (Control),0.0,Unknown
playing,ENTY,With Perturbation,0.58,Unknown
morning,ENTY,Without Perturbation (Control),0.0,Unknown
morning,ENTY,With Perturbation,0.42,Unknown
really,ENTY,Without Perturbation (Control),0.0,Unknown
really,ENTY,With Perturbation,0.56,Unknown
bought,ENTY,Without Perturbation (Control),0.0,Unknown
bought,ENTY,With Perturbation,0.48,Unknown
mother,ENTY,Without Perturbation (Control),0.0,Unknown
mother,ENTY,With Perturbation,0.76,Unknown
decided,ENTY,Without Perturbation (Control),0.02,Unknown
decided,ENTY,With Perturbation,0.4,Unknown
always,ENTY,Without Perturbation (Control),0.0,Unknown
always,ENTY,With Perturbation,0.56,Unknown
in,ABBR,Without Perturbation (Control),0.64,Unknown
in,ABBR,With Perturbation,0.88,Unknown
the,ABBR,Without Perturbation (Control),0.86,Unknown
the,ABBR,With Perturbation,0.96,Unknown
be,ABBR,Without Perturbation (Control),0.12,Unknown
be,ABBR,With Perturbation,0.82,Unknown
to,ABBR,Without Perturbation (Control),0.62,Unknown
to,ABBR,With Perturbation,0.62,Unknown
of,ABBR,Without Perturbation (Control),0.7,Unknown
of,ABBR,With Perturbation,0.22,Unknown
and,ABBR,Without Perturbation (Control),0.66,Unknown
and,ABBR,With Perturbation,0.7,Unknown
a,ABBR,Without Perturbation (Control),0.74,Unknown
a,ABBR,With Perturbation,1.0,Unknown
that,ABBR,Without Perturbation (Control),0.38,Unknown
that,ABBR,With Perturbation,0.94,Unknown
have,ABBR,Without Perturbation (Control),0.04,Unknown
have,ABBR,With Perturbation,0.76,Unknown
it,ABBR,Without Perturbation (Control),0.54,Unknown
it,ABBR,With Perturbation,0.54,Unknown
with,ABBR,Without Perturbation (Control),0.16,Unknown
with,ABBR,With Perturbation,0.88,Unknown
they,ABBR,Without Perturbation (Control),0.08,Unknown
they,ABBR,With Perturbation,0.82,Unknown
we,ABBR,Without Perturbation (Control),0.0,Unknown
we,ABBR,With Perturbation,0.0,Unknown
who,ABBR,Without Perturbation (Control),0.12,Unknown
who,ABBR,With Perturbation,0.8,Unknown
can,ABBR,Without Perturbation (Control),0.2,Unknown
can,ABBR,With Perturbation,0.76,Unknown
people,ABBR,Without Perturbation (Control),0.02,Unknown
people,ABBR,With Perturbation,0.8,Unknown
us,ABBR,Without Perturbation (Control),0.0,Unknown
us,ABBR,With Perturbation,0.5,Unknown
DT,ABBR,Without Perturbation (Control),0.0,Unknown
DT,ABBR,With Perturbation,0.0,Unknown
IN,ABBR,Without Perturbation (Control),0.54,Unknown
IN,ABBR,With Perturbation,0.6,Unknown
NN,ABBR,Without Perturbation (Control),0.02,Unknown
NN,ABBR,With Perturbation,0.02,Unknown
cheese,ABBR,Without Perturbation (Control),0.0,Unknown
cheese,ABBR,With Perturbation,0.94,Unknown
cake,ABBR,Without Perturbation (Control),0.0,Unknown
cake,ABBR,With Perturbation,0.86,Unknown
cheesecake,ABBR,Without Perturbation (Control),0.0,Unknown
cheesecake,ABBR,With Perturbation,0.16,Unknown
Llama3,ABBR,Without Perturbation (Control),0.0,Unknown
Llama3,ABBR,With Perturbation,0.0,Unknown
3 llamas,ABBR,Without Perturbation (Control),0.0,Unknown
3 llamas,ABBR,With Perturbation,0.0,Unknown
3,ABBR,Without Perturbation (Control),0.02,Unknown
3,ABBR,With Perturbation,0.46,Unknown
llama,ABBR,Without Perturbation (Control),0.0,Unknown
llama,ABBR,With Perturbation,0.58,Unknown
I,ABBR,Without Perturbation (Control),0.12,Unknown
I,ABBR,With Perturbation,0.86,Unknown
for,ABBR,Without Perturbation (Control),0.9,Unknown
for,ABBR,With Perturbation,0.98,Unknown
not,ABBR,Without Perturbation (Control),0.16,Unknown
not,ABBR,With Perturbation,0.78,Unknown
on,ABBR,Without Perturbation (Control),0.22,Unknown
on,ABBR,With Perturbation,0.22,Unknown
he,ABBR,Without Perturbation (Control),0.04,Unknown
he,ABBR,With Perturbation,0.06,Unknown
as,ABBR,Without Perturbation (Control),0.22,Unknown
as,ABBR,With Perturbation,0.86,Unknown
you,ABBR,Without Perturbation (Control),0.02,Unknown
you,ABBR,With Perturbation,0.1,Unknown
do,ABBR,Without Perturbation (Control),0.06,Unknown
do,ABBR,With Perturbation,0.14,Unknown
at,ABBR,Without Perturbation (Control),0.12,Unknown
at,ABBR,With Perturbation,0.1,Unknown
this,ABBR,Without Perturbation (Control),0.12,Unknown
this,ABBR,With Perturbation,0.12,Unknown
but,ABBR,Without Perturbation (Control),0.06,Unknown
but,ABBR,With Perturbation,0.8,Unknown
his,ABBR,Without Perturbation (Control),0.0,Unknown
his,ABBR,With Perturbation,0.62,Unknown
by,ABBR,Without Perturbation (Control),0.26,Unknown
by,ABBR,With Perturbation,0.72,Unknown
from,ABBR,Without Perturbation (Control),0.24,Unknown
from,ABBR,With Perturbation,0.82,Unknown
say,ABBR,Without Perturbation (Control),0.0,Unknown
say,ABBR,With Perturbation,0.62,Unknown
her,ABBR,Without Perturbation (Control),0.0,Unknown
her,ABBR,With Perturbation,0.02,Unknown
she,ABBR,Without Perturbation (Control),0.0,Unknown
she,ABBR,With Perturbation,0.84,Unknown
or,ABBR,Without Perturbation (Control),0.1,Unknown
or,ABBR,With Perturbation,0.24,Unknown
an,ABBR,Without Perturbation (Control),0.28,Unknown
an,ABBR,With Perturbation,0.84,Unknown
will,ABBR,Without Perturbation (Control),0.0,Unknown
will,ABBR,With Perturbation,0.56,Unknown
my,ABBR,Without Perturbation (Control),0.0,Unknown
my,ABBR,With Perturbation,0.0,Unknown
one,ABBR,Without Perturbation (Control),0.16,Unknown
one,ABBR,With Perturbation,0.1,Unknown
all,ABBR,Without Perturbation (Control),0.04,Unknown
all,ABBR,With Perturbation,0.76,Unknown
would,ABBR,Without Perturbation (Control),0.0,Unknown
would,ABBR,With Perturbation,0.0,Unknown
there,ABBR,Without Perturbation (Control),0.04,Unknown
there,ABBR,With Perturbation,0.86,Unknown
their,ABBR,Without Perturbation (Control),0.06,Unknown
their,ABBR,With Perturbation,0.06,Unknown
what,ABBR,Without Perturbation (Control),1.0,Unknown
what,ABBR,With Perturbation,1.0,Unknown
so,ABBR,Without Perturbation (Control),0.02,Unknown
so,ABBR,With Perturbation,0.72,Unknown
up,ABBR,Without Perturbation (Control),0.06,Unknown
up,ABBR,With Perturbation,0.7,Unknown
out,ABBR,Without Perturbation (Control),0.04,Unknown
out,ABBR,With Perturbation,0.72,Unknown
if,ABBR,Without Perturbation (Control),0.06,Unknown
if,ABBR,With Perturbation,0.08,Unknown
about,ABBR,Without Perturbation (Control),0.06,Unknown
about,ABBR,With Perturbation,0.68,Unknown
.,ABBR,Without Perturbation (Control),0.2,Unknown
.,ABBR,With Perturbation,0.18,Unknown
wanted,ABBR,Without Perturbation (Control),0.0,Unknown
wanted,ABBR,With Perturbation,0.52,Unknown
school,ABBR,Without Perturbation (Control),0.0,Unknown
school,ABBR,With Perturbation,0.84,Unknown
friends,ABBR,Without Perturbation (Control),0.0,Unknown
friends,ABBR,With Perturbation,0.66,Unknown
family,ABBR,Without Perturbation (Control),0.0,Unknown
family,ABBR,With Perturbation,0.88,Unknown
needed,ABBR,Without Perturbation (Control),0.0,Unknown
needed,ABBR,With Perturbation,0.38,Unknown
birthday,ABBR,Without Perturbation (Control),0.0,Unknown
birthday,ABBR,With Perturbation,0.76,Unknown
walking,ABBR,Without Perturbation (Control),0.0,Unknown
walking,ABBR,With Perturbation,0.8,Unknown
christmas,ABBR,Without Perturbation (Control),0.0,Unknown
christmas,ABBR,With Perturbation,0.86,Unknown
playing,ABBR,Without Perturbation (Control),0.0,Unknown
playing,ABBR,With Perturbation,0.62,Unknown
morning,ABBR,Without Perturbation (Control),0.02,Unknown
morning,ABBR,With Perturbation,0.62,Unknown
really,ABBR,Without Perturbation (Control),0.0,Unknown
really,ABBR,With Perturbation,0.72,Unknown
bought,ABBR,Without Perturbation (Control),0.0,Unknown
bought,ABBR,With Perturbation,0.64,Unknown
