Target Word,TREC_Category,Condition,Occurrence Probability,Chunk Category
mother,ABBR,Without Perturbation (Control),0.02,Unknown
mother,ABBR,With Perturbation,0.72,Unknown
decided,ABBR,Without Perturbation (Control),0.0,Unknown
decided,ABBR,With Perturbation,0.44,Unknown
always,ABBR,Without Perturbation (Control),0.0,Unknown
always,ABBR,With Perturbation,0.66,Unknown
in,HUM,Without Perturbation (Control),0.6,Unknown
in,HUM,With Perturbation,0.9,Unknown
the,HUM,Without Perturbation (Control),0.88,Unknown
the,HUM,With Perturbation,0.94,Unknown
be,HUM,Without Perturbation (Control),0.06,Unknown
be,HUM,With Perturbation,0.38,Unknown
to,HUM,Without Perturbation (Control),0.56,Unknown
to,HUM,With Perturbation,0.54,Unknown
of,HUM,Without Perturbation (Control),0.7,Unknown
of,HUM,With Perturbation,0.32,Unknown
and,HUM,Without Perturbation (Control),0.42,Unknown
and,HUM,With Perturbation,0.52,Unknown
a,HUM,Without Perturbation (Control),0.52,Unknown
a,HUM,With Perturbation,0.94,Unknown
that,HUM,Without Perturbation (Control),0.14,Unknown
that,HUM,With Perturbation,0.7,Unknown
have,HUM,Without Perturbation (Control),0.08,Unknown
have,HUM,With Perturbation,0.48,Unknown
it,HUM,Without Perturbation (Control),0.04,Unknown
it,HUM,With Perturbation,0.24,Unknown
with,HUM,Without Perturbation (Control),0.12,Unknown
with,HUM,With Perturbation,0.78,Unknown
they,HUM,Without Perturbation (Control),0.06,Unknown
they,HUM,With Perturbation,0.66,Unknown
we,HUM,Without Perturbation (Control),0.0,Unknown
we,HUM,With Perturbation,0.0,Unknown
who,HUM,Without Perturbation (Control),0.62,Unknown
who,HUM,With Perturbation,0.9,Unknown
can,HUM,Without Perturbation (Control),0.08,Unknown
can,HUM,With Perturbation,0.48,Unknown
people,HUM,Without Perturbation (Control),0.1,Unknown
people,HUM,With Perturbation,0.58,Unknown
us,HUM,Without Perturbation (Control),0.04,Unknown
us,HUM,With Perturbation,0.44,Unknown
DT,HUM,Without Perturbation (Control),0.0,Unknown
DT,HUM,With Perturbation,0.0,Unknown
IN,HUM,Without Perturbation (Control),0.62,Unknown
IN,HUM,With Perturbation,0.64,Unknown
NN,HUM,Without Perturbation (Control),0.0,Unknown
NN,HUM,With Perturbation,0.0,Unknown
cheese,HUM,Without Perturbation (Control),0.0,Unknown
cheese,HUM,With Perturbation,0.72,Unknown
cake,HUM,Without Perturbation (Control),0.0,Unknown
cake,HUM,With Perturbation,0.58,Unknown
cheesecake,HUM,Without Perturbation (Control),0.0,Unknown
cheesecake,HUM,With Perturbation,0.04,Unknown
Llama3,HUM,Without Perturbation (Control),0.0,Unknown
Llama3,HUM,With Perturbation,0.0,Unknown
3 llamas,HUM,Without Perturbation (Control),0.0,Unknown
3 llamas,HUM,With Perturbation,0.0,Unknown
3,HUM,Without Perturbation (Control),0.02,Unknown
3,HUM,With Perturbation,0.22,Unknown
llama,HUM,Without Perturbation (Control),0.0,Unknown
llama,HUM,With Perturbation,0.6,Unknown
I,HUM,Without Perturbation (Control),0.06,Unknown
I,HUM,With Perturbation,0.76,Unknown
for,HUM,Without Perturbation (Control),0.2,Unknown
for,HUM,With Perturbation,0.82,Unknown
not,HUM,Without Perturbation (Control),0.04,Unknown
not,HUM,With Perturbation,0.64,Unknown
on,HUM,Without Perturbation (Control),0.22,Unknown
on,HUM,With Perturbation,0.28,Unknown
he,HUM,Without Perturbation (Control),0.26,Unknown
he,HUM,With Perturbation,0.3,Unknown
as,HUM,Without Perturbation (Control),0.18,Unknown
as,HUM,With Perturbation,0.66,Unknown
you,HUM,Without Perturbation (Control),0.0,Unknown
you,HUM,With Perturbation,0.1,Unknown
do,HUM,Without Perturbation (Control),0.0,Unknown
do,HUM,With Perturbation,0.02,Unknown
at,HUM,Without Perturbation (Control),0.06,Unknown
at,HUM,With Perturbation,0.08,Unknown
this,HUM,Without Perturbation (Control),0.06,Unknown
this,HUM,With Perturbation,0.14,Unknown
but,HUM,Without Perturbation (Control),0.14,Unknown
but,HUM,With Perturbation,0.7,Unknown
his,HUM,Without Perturbation (Control),0.26,Unknown
his,HUM,With Perturbation,0.74,Unknown
by,HUM,Without Perturbation (Control),0.18,Unknown
by,HUM,With Perturbation,0.7,Unknown
from,HUM,Without Perturbation (Control),0.18,Unknown
from,HUM,With Perturbation,0.74,Unknown
say,HUM,Without Perturbation (Control),0.0,Unknown
say,HUM,With Perturbation,0.6,Unknown
her,HUM,Without Perturbation (Control),0.02,Unknown
her,HUM,With Perturbation,0.0,Unknown
she,HUM,Without Perturbation (Control),0.0,Unknown
she,HUM,With Perturbation,0.76,Unknown
or,HUM,Without Perturbation (Control),0.06,Unknown
or,HUM,With Perturbation,0.02,Unknown
an,HUM,Without Perturbation (Control),0.08,Unknown
an,HUM,With Perturbation,0.68,Unknown
will,HUM,Without Perturbation (Control),0.02,Unknown
will,HUM,With Perturbation,0.6,Unknown
my,HUM,Without Perturbation (Control),0.02,Unknown
my,HUM,With Perturbation,0.04,Unknown
one,HUM,Without Perturbation (Control),0.14,Unknown
one,HUM,With Perturbation,0.14,Unknown
all,HUM,Without Perturbation (Control),0.06,Unknown
all,HUM,With Perturbation,0.78,Unknown
would,HUM,Without Perturbation (Control),0.0,Unknown
would,HUM,With Perturbation,0.0,Unknown
there,HUM,Without Perturbation (Control),0.0,Unknown
there,HUM,With Perturbation,0.66,Unknown
their,HUM,Without Perturbation (Control),0.06,Unknown
their,HUM,With Perturbation,0.14,Unknown
what,HUM,Without Perturbation (Control),0.64,Unknown
what,HUM,With Perturbation,0.52,Unknown
so,HUM,Without Perturbation (Control),0.06,Unknown
so,HUM,With Perturbation,0.62,Unknown
up,HUM,Without Perturbation (Control),0.06,Unknown
up,HUM,With Perturbation,0.64,Unknown
out,HUM,Without Perturbation (Control),0.02,Unknown
out,HUM,With Perturbation,0.74,Unknown
if,HUM,Without Perturbation (Control),0.0,Unknown
if,HUM,With Perturbation,0.02,Unknown
about,HUM,Without Perturbation (Control),0.06,Unknown
about,HUM,With Perturbation,0.7,Unknown
.,HUM,Without Perturbation (Control),0.0,Unknown
.,HUM,With Perturbation,0.08,Unknown
wanted,HUM,Without Perturbation (Control),0.0,Unknown
wanted,HUM,With Perturbation,0.48,Unknown
school,HUM,Without Perturbation (Control),0.04,Unknown
school,HUM,With Perturbation,0.74,Unknown
friends,HUM,Without Perturbation (Control),0.02,Unknown
friends,HUM,With Perturbation,0.64,Unknown
family,HUM,Without Perturbation (Control),0.02,Unknown
family,HUM,With Perturbation,0.72,Unknown
needed,HUM,Without Perturbation (Control),0.0,Unknown
needed,HUM,With Perturbation,0.32,Unknown
birthday,HUM,Without Perturbation (Control),0.0,Unknown
birthday,HUM,With Perturbation,0.68,Unknown
walking,HUM,Without Perturbation (Control),0.0,Unknown
walking,HUM,With Perturbation,0.6,Unknown
christmas,HUM,Without Perturbation (Control),0.0,Unknown
christmas,HUM,With Perturbation,0.7,Unknown
playing,HUM,Without Perturbation (Control),0.0,Unknown
playing,HUM,With Perturbation,0.36,Unknown
morning,HUM,Without Perturbation (Control),0.0,Unknown
morning,HUM,With Perturbation,0.5,Unknown
really,HUM,Without Perturbation (Control),0.0,Unknown
really,HUM,With Perturbation,0.42,Unknown
bought,HUM,Without Perturbation (Control),0.0,Unknown
bought,HUM,With Perturbation,0.38,Unknown
mother,HUM,Without Perturbation (Control),0.04,Unknown
mother,HUM,With Perturbation,0.72,Unknown
decided,HUM,Without Perturbation (Control),0.0,Unknown
decided,HUM,With Perturbation,0.32,Unknown
always,HUM,Without Perturbation (Control),0.02,Unknown
always,HUM,With Perturbation,0.46,Unknown
in,NUM,Without Perturbation (Control),0.68,Unknown
in,NUM,With Perturbation,0.88,Unknown
the,NUM,Without Perturbation (Control),0.8,Unknown
the,NUM,With Perturbation,0.9,Unknown
be,NUM,Without Perturbation (Control),0.04,Unknown
be,NUM,With Perturbation,0.58,Unknown
to,NUM,Without Perturbation (Control),0.4,Unknown
to,NUM,With Perturbation,0.54,Unknown
of,NUM,Without Perturbation (Control),0.6,Unknown
of,NUM,With Perturbation,0.3,Unknown
and,NUM,Without Perturbation (Control),0.56,Unknown
and,NUM,With Perturbation,0.66,Unknown
a,NUM,Without Perturbation (Control),0.56,Unknown
a,NUM,With Perturbation,0.92,Unknown
that,NUM,Without Perturbation (Control),0.24,Unknown
that,NUM,With Perturbation,0.66,Unknown
have,NUM,Without Perturbation (Control),0.12,Unknown
have,NUM,With Perturbation,0.56,Unknown
it,NUM,Without Perturbation (Control),0.32,Unknown
it,NUM,With Perturbation,0.38,Unknown
with,NUM,Without Perturbation (Control),0.1,Unknown
with,NUM,With Perturbation,0.64,Unknown
they,NUM,Without Perturbation (Control),0.14,Unknown
they,NUM,With Perturbation,0.56,Unknown
we,NUM,Without Perturbation (Control),0.02,Unknown
we,NUM,With Perturbation,0.0,Unknown
who,NUM,Without Perturbation (Control),0.08,Unknown
who,NUM,With Perturbation,0.66,Unknown
can,NUM,Without Perturbation (Control),0.08,Unknown
can,NUM,With Perturbation,0.6,Unknown
people,NUM,Without Perturbation (Control),0.04,Unknown
people,NUM,With Perturbation,0.52,Unknown
us,NUM,Without Perturbation (Control),0.02,Unknown
us,NUM,With Perturbation,0.48,Unknown
DT,NUM,Without Perturbation (Control),0.0,Unknown
DT,NUM,With Perturbation,0.0,Unknown
IN,NUM,Without Perturbation (Control),0.72,Unknown
IN,NUM,With Perturbation,0.66,Unknown
NN,NUM,Without Perturbation (Control),0.0,Unknown
NN,NUM,With Perturbation,0.0,Unknown
cheese,NUM,Without Perturbation (Control),0.0,Unknown
cheese,NUM,With Perturbation,0.74,Unknown
cake,NUM,Without Perturbation (Control),0.0,Unknown
cake,NUM,With Perturbation,0.62,Unknown
cheesecake,NUM,Without Perturbation (Control),0.0,Unknown
cheesecake,NUM,With Perturbation,0.12,Unknown
Llama3,NUM,Without Perturbation (Control),0.0,Unknown
Llama3,NUM,With Perturbation,0.0,Unknown
3 llamas,NUM,Without Perturbation (Control),0.0,Unknown
3 llamas,NUM,With Perturbation,0.0,Unknown
3,NUM,Without Perturbation (Control),0.16,Unknown
3,NUM,With Perturbation,0.4,Unknown
llama,NUM,Without Perturbation (Control),0.0,Unknown
llama,NUM,With Perturbation,0.54,Unknown
I,NUM,Without Perturbation (Control),0.1,Unknown
I,NUM,With Perturbation,0.7,Unknown
for,NUM,Without Perturbation (Control),0.3,Unknown
for,NUM,With Perturbation,0.76,Unknown
not,NUM,Without Perturbation (Control),0.08,Unknown
not,NUM,With Perturbation,0.62,Unknown
on,NUM,Without Perturbation (Control),0.14,Unknown
on,NUM,With Perturbation,0.22,Unknown
he,NUM,Without Perturbation (Control),0.06,Unknown
he,NUM,With Perturbation,0.04,Unknown
as,NUM,Without Perturbation (Control),0.02,Unknown
as,NUM,With Perturbation,0.66,Unknown
you,NUM,Without Perturbation (Control),0.08,Unknown
you,NUM,With Perturbation,0.08,Unknown
do,NUM,Without Perturbation (Control),0.08,Unknown
do,NUM,With Perturbation,0.08,Unknown
at,NUM,Without Perturbation (Control),0.16,Unknown
at,NUM,With Perturbation,0.18,Unknown
this,NUM,Without Perturbation (Control),0.12,Unknown
this,NUM,With Perturbation,0.12,Unknown
but,NUM,Without Perturbation (Control),0.12,Unknown
but,NUM,With Perturbation,0.66,Unknown
his,NUM,Without Perturbation (Control),0.06,Unknown
his,NUM,With Perturbation,0.68,Unknown
by,NUM,Without Perturbation (Control),0.12,Unknown
by,NUM,With Perturbation,0.76,Unknown
from,NUM,Without Perturbation (Control),0.16,Unknown
from,NUM,With Perturbation,0.74,Unknown
say,NUM,Without Perturbation (Control),0.02,Unknown
say,NUM,With Perturbation,0.62,Unknown
her,NUM,Without Perturbation (Control),0.02,Unknown
her,NUM,With Perturbation,0.0,Unknown
she,NUM,Without Perturbation (Control),0.0,Unknown
she,NUM,With Perturbation,0.74,Unknown
or,NUM,Without Perturbation (Control),0.02,Unknown
or,NUM,With Perturbation,0.08,Unknown
an,NUM,Without Perturbation (Control),0.02,Unknown
an,NUM,With Perturbation,0.64,Unknown
will,NUM,Without Perturbation (Control),0.08,Unknown
will,NUM,With Perturbation,0.4,Unknown
my,NUM,Without Perturbation (Control),0.02,Unknown
my,NUM,With Perturbation,0.04,Unknown
one,NUM,Without Perturbation (Control),0.04,Unknown
one,NUM,With Perturbation,0.1,Unknown
all,NUM,Without Perturbation (Control),0.08,Unknown
all,NUM,With Perturbation,0.62,Unknown
would,NUM,Without Perturbation (Control),0.0,Unknown
would,NUM,With Perturbation,0.02,Unknown
there,NUM,Without Perturbation (Control),0.2,Unknown
there,NUM,With Perturbation,0.62,Unknown
their,NUM,Without Perturbation (Control),0.04,Unknown
their,NUM,With Perturbation,0.08,Unknown
what,NUM,Without Perturbation (Control),0.4,Unknown
what,NUM,With Perturbation,0.52,Unknown
so,NUM,Without Perturbation (Control),0.0,Unknown
so,NUM,With Perturbation,0.7,Unknown
up,NUM,Without Perturbation (Control),0.04,Unknown
up,NUM,With Perturbation,0.4,Unknown
out,NUM,Without Perturbation (Control),0.02,Unknown
out,NUM,With Perturbation,0.6,Unknown
if,NUM,Without Perturbation (Control),0.12,Unknown
if,NUM,With Perturbation,0.08,Unknown
about,NUM,Without Perturbation (Control),0.08,Unknown
about,NUM,With Perturbation,0.62,Unknown
.,NUM,Without Perturbation (Control),0.08,Unknown
.,NUM,With Perturbation,0.08,Unknown
wanted,NUM,Without Perturbation (Control),0.0,Unknown
wanted,NUM,With Perturbation,0.28,Unknown
school,NUM,Without Perturbation (Control),0.0,Unknown
school,NUM,With Perturbation,0.78,Unknown
friends,NUM,Without Perturbation (Control),0.0,Unknown
friends,NUM,With Perturbation,0.54,Unknown
family,NUM,Without Perturbation (Control),0.02,Unknown
family,NUM,With Perturbation,0.7,Unknown
needed,NUM,Without Perturbation (Control),0.0,Unknown
needed,NUM,With Perturbation,0.22,Unknown
birthday,NUM,Without Perturbation (Control),0.0,Unknown
birthday,NUM,With Perturbation,0.62,Unknown
walking,NUM,Without Perturbation (Control),0.0,Unknown
walking,NUM,With Perturbation,0.58,Unknown
christmas,NUM,Without Perturbation (Control),0.02,Unknown
christmas,NUM,With Perturbation,0.76,Unknown
playing,NUM,Without Perturbation (Control),0.0,Unknown
playing,NUM,With Perturbation,0.52,Unknown
morning,NUM,Without Perturbation (Control),0.0,Unknown
morning,NUM,With Perturbation,0.42,Unknown
really,NUM,Without Perturbation (Control),0.0,Unknown
really,NUM,With Perturbation,0.54,Unknown
bought,NUM,Without Perturbation (Control),0.0,Unknown
bought,NUM,With Perturbation,0.38,Unknown
mother,NUM,Without Perturbation (Control),0.0,Unknown
mother,NUM,With Perturbation,0.7,Unknown
decided,NUM,Without Perturbation (Control),0.0,Unknown
decided,NUM,With Perturbation,0.34,Unknown
always,NUM,Without Perturbation (Control),0.0,Unknown
always,NUM,With Perturbation,0.42,Unknown
in,LOC,Without Perturbation (Control),0.54,Unknown
in,LOC,With Perturbation,1.0,Unknown
the,LOC,Without Perturbation (Control),0.88,Unknown
the,LOC,With Perturbation,0.96,Unknown
be,LOC,Without Perturbation (Control),0.04,Unknown
be,LOC,With Perturbation,0.44,Unknown
to,LOC,Without Perturbation (Control),0.44,Unknown
to,LOC,With Perturbation,0.5,Unknown
of,LOC,Without Perturbation (Control),0.78,Unknown
of,LOC,With Perturbation,0.22,Unknown
and,LOC,Without Perturbation (Control),0.44,Unknown
and,LOC,With Perturbation,0.66,Unknown
a,LOC,Without Perturbation (Control),0.4,Unknown
a,LOC,With Perturbation,0.9,Unknown
that,LOC,Without Perturbation (Control),0.18,Unknown
that,LOC,With Perturbation,0.7,Unknown
have,LOC,Without Perturbation (Control),0.12,Unknown
have,LOC,With Perturbation,0.56,Unknown
it,LOC,Without Perturbation (Control),0.24,Unknown
it,LOC,With Perturbation,0.32,Unknown
with,LOC,Without Perturbation (Control),0.14,Unknown
with,LOC,With Perturbation,0.72,Unknown
they,LOC,Without Perturbation (Control),0.04,Unknown
they,LOC,With Perturbation,0.68,Unknown
we,LOC,Without Perturbation (Control),0.0,Unknown
we,LOC,With Perturbation,0.02,Unknown
who,LOC,Without Perturbation (Control),0.02,Unknown
who,LOC,With Perturbation,0.64,Unknown
can,LOC,Without Perturbation (Control),0.1,Unknown
can,LOC,With Perturbation,0.7,Unknown
people,LOC,Without Perturbation (Control),0.14,Unknown
people,LOC,With Perturbation,0.74,Unknown
us,LOC,Without Perturbation (Control),0.02,Unknown
us,LOC,With Perturbation,0.48,Unknown
DT,LOC,Without Perturbation (Control),0.0,Unknown
DT,LOC,With Perturbation,0.0,Unknown
IN,LOC,Without Perturbation (Control),0.6,Unknown
IN,LOC,With Perturbation,0.64,Unknown
NN,LOC,Without Perturbation (Control),0.0,Unknown
NN,LOC,With Perturbation,0.0,Unknown
cheese,LOC,Without Perturbation (Control),0.0,Unknown
cheese,LOC,With Perturbation,0.86,Unknown
cake,LOC,Without Perturbation (Control),0.0,Unknown
cake,LOC,With Perturbation,0.66,Unknown
cheesecake,LOC,Without Perturbation (Control),0.0,Unknown
cheesecake,LOC,With Perturbation,0.1,Unknown
Llama3,LOC,Without Perturbation (Control),0.0,Unknown
Llama3,LOC,With Perturbation,0.0,Unknown
3 llamas,LOC,Without Perturbation (Control),0.0,Unknown
3 llamas,LOC,With Perturbation,0.0,Unknown
3,LOC,Without Perturbation (Control),0.04,Unknown
3,LOC,With Perturbation,0.44,Unknown
llama,LOC,Without Perturbation (Control),0.0,Unknown
llama,LOC,With Perturbation,0.64,Unknown
I,LOC,Without Perturbation (Control),0.1,Unknown
I,LOC,With Perturbation,0.8,Unknown
for,LOC,Without Perturbation (Control),0.28,Unknown
for,LOC,With Perturbation,0.76,Unknown
not,LOC,Without Perturbation (Control),0.1,Unknown
not,LOC,With Perturbation,0.6,Unknown
on,LOC,Without Perturbation (Control),0.32,Unknown
on,LOC,With Perturbation,0.34,Unknown
he,LOC,Without Perturbation (Control),0.04,Unknown
he,LOC,With Perturbation,0.08,Unknown
as,LOC,Without Perturbation (Control),0.1,Unknown
as,LOC,With Perturbation,0.66,Unknown
you,LOC,Without Perturbation (Control),0.06,Unknown
you,LOC,With Perturbation,0.08,Unknown
do,LOC,Without Perturbation (Control),0.0,Unknown
do,LOC,With Perturbation,0.02,Unknown
at,LOC,Without Perturbation (Control),0.06,Unknown
at,LOC,With Perturbation,0.12,Unknown
this,LOC,Without Perturbation (Control),0.06,Unknown
this,LOC,With Perturbation,0.1,Unknown
but,LOC,Without Perturbation (Control),0.04,Unknown
but,LOC,With Perturbation,0.68,Unknown
his,LOC,Without Perturbation (Control),0.04,Unknown
his,LOC,With Perturbation,0.56,Unknown
by,LOC,Without Perturbation (Control),0.22,Unknown
by,LOC,With Perturbation,0.7,Unknown
from,LOC,Without Perturbation (Control),0.06,Unknown
from,LOC,With Perturbation,0.72,Unknown
say,LOC,Without Perturbation (Control),0.0,Unknown
say,LOC,With Perturbation,0.5,Unknown
her,LOC,Without Perturbation (Control),0.02,Unknown
her,LOC,With Perturbation,0.0,Unknown
she,LOC,Without Perturbation (Control),0.0,Unknown
she,LOC,With Perturbation,0.68,Unknown
or,LOC,Without Perturbation (Control),0.02,Unknown
or,LOC,With Perturbation,0.06,Unknown
an,LOC,Without Perturbation (Control),0.02,Unknown
an,LOC,With Perturbation,0.68,Unknown
will,LOC,Without Perturbation (Control),0.0,Unknown
will,LOC,With Perturbation,0.38,Unknown
my,LOC,Without Perturbation (Control),0.02,Unknown
my,LOC,With Perturbation,0.02,Unknown
one,LOC,Without Perturbation (Control),0.08,Unknown
one,LOC,With Perturbation,0.08,Unknown
all,LOC,Without Perturbation (Control),0.06,Unknown
all,LOC,With Perturbation,0.64,Unknown
would,LOC,Without Perturbation (Control),0.0,Unknown
would,LOC,With Perturbation,0.02,Unknown
there,LOC,Without Perturbation (Control),0.02,Unknown
there,LOC,With Perturbation,0.72,Unknown
their,LOC,Without Perturbation (Control),0.02,Unknown
their,LOC,With Perturbation,0.06,Unknown
what,LOC,Without Perturbation (Control),0.76,Unknown
what,LOC,With Perturbation,0.76,Unknown
so,LOC,Without Perturbation (Control),0.02,Unknown
so,LOC,With Perturbation,0.56,Unknown
up,LOC,Without Perturbation (Control),0.04,Unknown
up,LOC,With Perturbation,0.68,Unknown
out,LOC,Without Perturbation (Control),0.02,Unknown
out,LOC,With Perturbation,0.56,Unknown
if,LOC,Without Perturbation (Control),0.0,Unknown
if,LOC,With Perturbation,0.04,Unknown
about,LOC,Without Perturbation (Control),0.06,Unknown
about,LOC,With Perturbation,0.78,Unknown
.,LOC,Without Perturbation (Control),0.16,Unknown
.,LOC,With Perturbation,0.14,Unknown
wanted,LOC,Without Perturbation (Control),0.0,Unknown
wanted,LOC,With Perturbation,0.46,Unknown
school,LOC,Without Perturbation (Control),0.0,Unknown
school,LOC,With Perturbation,0.84,Unknown
friends,LOC,Without Perturbation (Control),0.0,Unknown
friends,LOC,With Perturbation,0.56,Unknown
family,LOC,Without Perturbation (Control),0.04,Unknown
family,LOC,With Perturbation,0.68,Unknown
needed,LOC,Without Perturbation (Control),0.0,Unknown
needed,LOC,With Perturbation,0.42,Unknown
birthday,LOC,Without Perturbation (Control),0.0,Unknown
birthday,LOC,With Perturbation,0.66,Unknown
walking,LOC,Without Perturbation (Control),0.0,Unknown
walking,LOC,With Perturbation,0.66,Unknown
christmas,LOC,Without Perturbation (Control),0.0,Unknown
christmas,LOC,With Perturbation,0.62,Unknown
playing,LOC,Without Perturbation (Control),0.0,Unknown
playing,LOC,With Perturbation,0.52,Unknown
morning,LOC,Without Perturbation (Control),0.0,Unknown
morning,LOC,With Perturbation,0.32,Unknown
really,LOC,Without Perturbation (Control),0.02,Unknown
really,LOC,With Perturbation,0.5,Unknown
bought,LOC,Without Perturbation (Control),0.0,Unknown
bought,LOC,With Perturbation,0.54,Unknown
mother,LOC,Without Perturbation (Control),0.04,Unknown
mother,LOC,With Perturbation,0.72,Unknown
decided,LOC,Without Perturbation (Control),0.0,Unknown
decided,LOC,With Perturbation,0.44,Unknown
always,LOC,Without Perturbation (Control),0.0,Unknown
always,LOC,With Perturbation,0.54,Unknown
